Id,Date,Title
331551-113872410319,12/31/2018 17:00,Pembrolizumab for Patients with Advanced NSCLC and a Performance Status (PS) of 2: Results of the PePS2 Trial (BMIC-067) http://www.oncologytube.com/video/pembrolizumab-for-patients-with-advanced-nsclc-and-a-performance-status-(ps)-of-2-results-of-the-peps2-trial-(bmic-067)/10005525
331551-113871401498,12/31/2018 16:33,@PatelOncology M.sclerosis pt with met lung adeno PDL1 100%. MS controlled on Avonex. Pembro contraindicated?
331551-113867692727,12/31/2018 14:47,"King Keytruda. $MRK proving that innovation is still the best way to make $$$ in America. CNBC: Merck surges more than 30% in 2018, taking the crown as biggest Dow winner. https://www.cnbc.com/2018/12/31/merck-surges-more-than-30percent-in-2018-taking-the-crown-as-biggest-dow-winner.html via @GoogleNews"
331551-113866508988,12/31/2018 14:12,"@BioValues @DarrenEstes I think TRX518 (in the combo therapy w/ Keytruda/Opdivo) showed a nice clinical benefit imho. I believe they said dose expansion cohorts for the combos will begin before the end of March (2019)-DKN-01 also had nice combo results with pac & pfs,os & safety all good. So......."
331551-113864748642,12/31/2018 13:25,Pembrolizumab Plus BL-8040 Shows Promise in #PancreaticCancer. http://ow.ly/mi8c30n97Hh via @OncLive
331551-113860919743,12/31/2018 11:51,"RT @OncLive: 3) Combining pembrolizumab with standard chemotherapy in the frontline setting reduced the risk of death by over 50% in patients with nonsquamous NSCLC without EGFR or ALK mutations, according to findings from the phase III KEYNOTE-189 trial #lcsm https://www.onclive.com/conference-coverage/aacr-2018/frontline-pembrolizumab-combo-significantly-improves-survival-in-nsclc"
331551-113857148686,12/31/2018 10:20,RT @CKJsocial: Renal toxicities associated with #pembrolizumab https://academic.oup.com/ckj/advance-article/doi/10.1093/ckj/sfy100/5168430 #nephropathy
331551-113855356705,12/31/2018 9:38,"Interesting topic this, I saw a patient recently with AKI following Pembrolizumab. I think as nephrologists we need to remain vigilant with all the new anti-cancer drugs - there may well be other unusual patterns of AKI around the corner RT @CKJsocial: Renal toxicities associated with #pembrolizumab https://academic.oup.com/ckj/advance-article/doi/10.1093/ckj/sfy100/5168430 #nephropathy"
331551-113853613698,12/31/2018 8:53,RT @ColoWrap: Novel Agent Shows Benefit Combined with Nivolumab in Microsatellite Stable CRC https://www.targetedonc.com/news/novel-agent-shows-benefit-combined-with-nivolumab-in-microsatellite-stable-crc via @TargetedOnc Small but intriguing study #coloncancer #colorectalcancer #bowelcancer
331551-113850367427,12/31/2018 7:27,Merck drops the ball with Keytruda assistance http://worldofdtcmarketing.com/merck-drops-the-ball-with-keytruda-assistance/
331551-113848335671,12/31/2018 6:31,RT @CKJsocial: Renal toxicities associated with #pembrolizumab https://academic.oup.com/ckj/advance-article/doi/10.1093/ckj/sfy100/5168430 #nephropathy
331551-113829771504,12/30/2018 21:00,A 6-factor prognostic model for urothelial carcinoma patients receiving atezolizumab http://www.oncologytube.com/video/a-6-factor-prognostic-model-for-urothelial-carcinoma-patients-receiving-atezolizumab/10004170
331551-113824187806,12/30/2018 18:18,BriaCell Presents Positive Efficacy Data with Lead Cancer Drug Candidate in Phase IIa Monotherapy and Excellent Initial Safety Data in Combination with KEYTRUDA® at a Major Breast Cancer Conference - GlobeNewswire https://globenewswire.com/news-release/2018/12/06/1663095/0/en/BriaCell-Presents-Positive-Efficacy-Data-with-Lead-Cancer-Drug-Candidate-in-Phase-IIa-Monotherapy-and-Excellent-Initial-Safety-Data-in-Combination-with-KEYTRUDA-at-a-Major-Breast-C.html?utm_source=dlvr.it&utm_medium=twitter
331551-113823600019,12/30/2018 18:00,"2) In March, the FDA approved a supplemental biologics license application adding a 4-week dosing schedule for nivolumab across several of the PD-1 inhibitor’s indications #melsm #lcsm #kcsm #lymsm #hncsm https://www.onclive.com/web-exclusives/fda-approves-4week-nivolumab-dosing-schedule"
331551-113821370421,12/30/2018 17:00,"3) Combining pembrolizumab with standard chemotherapy in the frontline setting reduced the risk of death by over 50% in patients with nonsquamous NSCLC without EGFR or ALK mutations, according to findings from the phase III KEYNOTE-189 trial #lcsm https://www.onclive.com/conference-coverage/aacr-2018/frontline-pembrolizumab-combo-significantly-improves-survival-in-nsclc"
331551-113819389390,12/30/2018 16:05,Merck drops the ball with Keytruda assistance - black eyes all over social media by HCPs and Patients #hcsm #hcmktg http://worldofdtcmarketing.com/merck-drops-the-ball-with-keytruda-assistance/
331551-113819339127,12/30/2018 16:04,#merck #keytruda RT @richmeyer: Merck drops the ball with Keytruda assistance http://worldofdtcmarketing.com/merck-drops-the-ball-with-keytruda-assistance/
